          A股市盈率最小二十名

  代码    股票简称   收盘价   市盈率
600005    Ｇ武钢      2.70     4.38  
600022    Ｇ济钢      4.29     4.88  
600231    Ｇ凌钢      3.28     5.29  
600307    Ｇ酒钢      3.82     5.46  
600010    Ｇ包钢      1.93     5.51  
600808    Ｇ马钢      2.59     5.87  
600019    Ｇ宝钢      4.34     6.03  
000709    Ｇ唐钢      3.06     6.12  
600428    Ｇ中远      6.63     6.31  
000629    Ｇ新钢钒    3.04     6.33  
600581    Ｇ八一      2.67     6.36  
000825    Ｇ太钢      4.06     6.76  
600508    Ｇ上能      6.98     6.91  
600001    Ｇ邯钢      2.80     7.00  
600556    Ｇ北生      3.24     7.06  
600500    Ｇ中化      4.08     7.16  
600096    Ｇ云天化    9.11     7.17  
000778    Ｇ铸管      5.91     7.21  
000761    Ｇ本钢      4.02     7.22  
600227    Ｇ赤天化    7.81     7.58  

          B股市盈率最小二十名

  代码    股票简称   收盘价   市盈率
900948    伊泰Ｂ股    1.50     6.22  
200761    本钢板Ｂ    3.40     6.31  
900950    新城Ｂ股    0.83     7.88  
200039    中集Ｂ     10.90     8.53  
200771    杭汽轮Ｂ   13.66     8.90  
200488    晨鸣Ｂ      4.11     9.54  
200726    鲁泰Ｂ      7.02     9.80  
200550    江铃Ｂ      5.80    10.51  
900910    海立Ｂ股    0.43    10.70  
200513    丽珠Ｂ      3.73    11.01  
900949    东电Ｂ股    0.42    11.21  
200530    大冷Ｂ      3.29    11.80  
900914    锦投Ｂ股    0.67    11.80  
900938    *ST天海B(行情,论坛)    0.18    12.01  
900903    大众Ｂ股    0.56    12.81  
200429    粤高速Ｂ    3.42    13.59  
200012    南玻Ｂ      4.15    13.83  
200541    粤照明Ｂ    8.55    14.48  
900936    鄂绒Ｂ股    0.33    14.68  
200413    宝石Ｂ      1.07    14.94  

          A股市盈率最大二十名

  代码    股票简称   收盘价   市盈率
600868    梅雁股份(行情,论坛)    1.96  1781.82    
600618    Ｇ氯碱      5.14  1468.57    
001896    豫能控股(行情,论坛)    2.72  1295.24    
000938    Ｇ紫光      8.12   738.18    
600365    Ｇ通葡酒    5.15   705.48    
000638    *ST中辽(行情,论坛)     2.79   680.49    
600841    上柴股份(行情,论坛)    7.79   649.17    
000514    Ｇ渝开发    3.80   622.95    
000751    Ｇ锌业      4.43   615.28    
000504    赛迪传媒(行情,论坛)    3.96   600.00    
600893    华润生化(行情,论坛)    5.55   590.43    
600864    岁宝热电(行情,论坛)    7.93   587.41    
000565    渝三峡Ａ    4.52   587.01    
000657    中钨高新(行情,论坛)   11.73   586.50    
000415    汇通水利(行情,论坛)    3.98   576.81    
600727    鲁北化工(行情,论坛)    4.39   548.75    
600885    力诺太阳(行情,论坛)    6.52   513.39    
600118    中国卫星(行情,论坛)   14.41   509.19    
000955    Ｇ欣龙      2.62   494.34    
600640    Ｇ国脉      3.50   492.96    

          B股市盈率最大二十名

  代码    股票简称   收盘价   市盈率
900908    氯碱Ｂ股    0.24   549.19    
900920    上柴Ｂ股    0.34   226.92    
900946    ST轻骑(行情,论坛)Ｂ    0.15   222.47    
200029    深深房Ｂ    2.27   195.43    
900901    上电Ｂ股    0.26   189.30    
900921    *ST大盈B(行情,论坛)    0.19   169.08    
900956    东贝Ｂ股    0.27   152.28    
900902    二纺Ｂ股    0.19   150.66    
200596    *ST古井B(行情,论坛)    2.99   140.41    
900930    邮通Ｂ股    0.37   128.84    
200019    深深宝Ｂ    3.50   120.53    
900953    凯马Ｂ股    0.20   116.92    
900928    ST自仪(行情,论坛)Ｂ    0.20   115.24    
200521    皖美菱Ｂ    1.52    98.14    
200553    沙隆达Ｂ    1.60    95.00    
900943    开开Ｂ股    0.24    91.53    
200017    *ST中华B(行情,论坛)    0.69    91.39    
200025    深特力Ｂ    2.25    90.10    
900916    凤凰Ｂ股    0.22    85.12    
200056    深国商Ｂ    2.53    82.45    


  公式：市盈率 = 当日收盘价 / （上一年度末每股收益）
  注：仅计算上一年度末每股收益大于零并且收盘价大于零情况
