          A股换手率前二十名

  代码    股票简称       成交量(万股)  换手率(%)
 600216   Ｇ浙医药           4049.18      23.04  
 000803   金宇车城(行情,论坛)           1117.14      22.92  
 600328   Ｇ兰太             3354.48      20.36  
 600961   Ｇ株冶             3123.20      19.28  
 000680   山推股份(行情,论坛)           6686.96      17.73  
 000962   Ｇ东方钽           3089.29      16.42  
 000906   南方建材(行情,论坛)            952.18      14.32  
 002041   登海种业(行情,论坛)            387.13      13.86  
 600401   Ｇ申龙             2147.45      13.71  
 000028   Ｇ一致              958.27      13.43  
 600470   Ｇ六国             1360.72      13.29  
 000662   Ｇ索芙特           1247.36      12.83  
 600590   Ｇ泰豪              763.42      12.72  
 002022   科华生物(行情,论坛)            632.94      12.67  
 600885   力诺太阳(行情,论坛)            630.81      12.65  
 002049   晶源电子(行情,论坛)            407.00      12.06  
 600480   Ｇ凌云             1403.46      11.94  
 002018   华星化工(行情,论坛)            333.68      11.92  
 000630   Ｇ铜都             6537.52      11.90  
 600816   Ｇ*ST安信          3142.96      11.79  

          A股换手率后二十名

  代码    股票简称       成交股数(万股)  换手率(%)
 600200   Ｇ吴中               38.63       0.14  
 000637   茂化实华(行情,论坛)             39.53       0.26  
 000639   金德发展(行情,论坛)              8.58       0.26  
 600497   驰宏锌锗(行情,论坛)             18.13       0.26  
 600655   豫园商城(行情,论坛)             47.39       0.32  
 600380   健康元(行情,论坛)               58.21       0.37  
 000888   峨眉山Ａ             40.12       0.43  
 600862   ST纵横(行情,论坛)               59.39       0.49  
 000004   *ST国农(行情,论坛)              21.27       0.51  
 600877   中国嘉陵(行情,论坛)            123.03       0.56  
 600547   Ｇ鲁黄金             45.22       0.60  
 000571   新大洲Ａ            206.66       0.61  
 600647   Ｇ同达               17.92       0.61  
 600250   南纺股份(行情,论坛)             68.85       0.62  
 000536   ST闽闽东(行情,论坛)             30.07       0.66  
 600664   哈药集团(行情,论坛)            589.92       0.73  
 600038   哈飞股份(行情,论坛)            114.48       0.77  
 600603   ST兴业(行情,论坛)              165.35       0.85  
 600842   ＧST中西             72.54       0.86  
 600851   Ｇ海欣              421.74       0.87  

          B股换手率前二十名

  代码    股票简称       成交量(万股)  换手率(%)
 200025   深特力Ｂ             77.85       2.95  
 200570   苏常柴Ｂ            268.67       2.69  
 900935   阳晨Ｂ股            255.93       2.67  
 200771   杭汽轮Ｂ            177.20       2.22  
 900926   宝信Ｂ              170.57       1.94  
 900925   机电Ｂ股            350.18       1.94  
 200028   一致Ｂ              104.80       1.91  
 200016   深康佳Ｂ            384.31       1.89  
 900950   新城Ｂ股            251.53       1.88  
 200056   深国商Ｂ            171.96       1.69  
 900915   永久Ｂ股            110.36       1.60  
 200761   本钢板Ｂ            601.77       1.50  
 200012   南玻Ｂ              611.78       1.36  
 200019   深深宝Ｂ             34.76       1.33  
 200029   深深房Ｂ            155.33       1.29  
 900941   东信Ｂ股            186.56       1.24  
 200160   帝贤Ｂ              476.25       1.24  
 900910   海立Ｂ股            263.54       1.22  
 200429   粤高速Ｂ            426.24       1.22  
 200505   *ST珠江(行情,论坛)B             68.80       1.20  

          B股换手率后二十名

  代码    股票简称       成交股数(万股)  换手率(%)
 900933   华新Ｂ股             22.47       0.14  
 200581   苏威孚Ｂ             25.09       0.22  
 900945   海航Ｂ股             41.72       0.23  
 200037   深南电Ｂ             41.45       0.27  
 900901   上电Ｂ股             65.88       0.28  
 900922   三毛Ｂ股             13.72       0.28  
 900902   二纺Ｂ股             68.58       0.29  
 900906   中纺Ｂ股             36.26       0.30  
 200541   粤照明Ｂ             27.22       0.33  
 900912   外高Ｂ股             67.75       0.34  
 900934   锦江Ｂ股             54.96       0.35  
 900918   耀皮Ｂ股             67.91       0.36  
 900929   锦旅Ｂ股             23.44       0.36  
 900917   海欣Ｂ股            150.67       0.37  
 900928   ST自仪(行情,论坛)Ｂ             39.68       0.37  
 900955   茉织华Ｂ             45.06       0.41  
 900930   邮通Ｂ股             51.80       0.42  
 900908   氯碱Ｂ股            176.74       0.43  
 900916   凤凰Ｂ股             73.15       0.43  
 900949   东电Ｂ股            298.26       0.43  


  公式：换手率(%) = （成交量 / 流通股本）* 100
