沪市：
每100美元兑换人民币800.9元
B股代码 B股简称  B股价格 B股折算价 AB股价格比 A股价格 A股简称  A股代码
                  (美元)                        (元)                  
900901  上电Ｂ股   0.258   2.066      1.500     3.1   Ｇ电子    600602 
900902  二纺Ｂ股   0.186   1.490      1.691     2.52  Ｇ二纺机  600604 
900903  大众Ｂ股   0.561   4.493      1.442     6.48  大众交通(行情,论坛)  600611 
900904  永生Ｂ股   0.378   3.027      2.554     7.73  永生数据(行情,论坛)  600613 
900905  中铅Ｂ股   0.407   3.260      1.902     6.2   Ｇ中铅    600612 
900906  中纺Ｂ股   0.154   1.233      2.733     3.37  中国纺机(行情,论坛)  600610 
900907  *ST发展(行情,论坛)B(行情,论坛)   0.207   1.658      3.739     6.2   *ST发展(行情,论坛)   600614 
900908  氯碱Ｂ股   0.239   1.914      2.685     5.14  Ｇ氯碱    600618 
900909  轮胎Ｂ股   0.367   2.939      3.035     8.92  轮胎橡胶(行情,论坛)  600623 
900910  海立Ｂ股   0.435   3.484      2.058     7.17  Ｇ海立    600619 
900911  金桥Ｂ股   0.688   5.510      1.249     6.88  Ｇ金桥    600639 
900912  外高Ｂ股   0.381   3.051      1.665     5.08  Ｇ外高桥  600648 
900913  *ST联华(行情,论坛)B   0.2     1.602      2.996     4.8   *ST联华(行情,论坛)   600617 
900914  锦投Ｂ股   0.67    5.366      1.390     7.46  Ｇ锦投    600650 
900915  永久Ｂ股   0.383   3.067      2.338     7.17  Ｇ永久    600818 
900916  凤凰Ｂ股   0.217   1.738      1.755     3.05  Ｇ凤凰    600679 
900917  海欣Ｂ股   0.166   1.329      1.881     2.5   Ｇ海欣    600851 
900918  耀皮Ｂ股   0.331   2.651      1.222     3.24  Ｇ耀皮    600819 
900919  *ST大江(行情,论坛)B(行情,论坛)   0.119   0.953      3.169     3.02  *ST大江(行情,论坛)   600695 
900920  上柴Ｂ股   0.339   2.715      2.869     7.79  上柴股份(行情,论坛)  600841 
900921  *ST大盈(行情,论坛)B   0.189   1.514      2.530     3.83  *ST大盈(行情,论坛)   600844 
900922  三毛Ｂ股   0.218   1.746      1.798     3.14  上海三毛(行情,论坛)  600689 
900923  友谊Ｂ股   0.642   5.142      1.583     8.14  友谊股份(行情,论坛)  600827 
900924  上工Ｂ股   0.189   1.514      3.976     6.02  上工申贝(行情,论坛)  600843 
900925  机电Ｂ股   0.443   3.548      1.705     6.05  上海机电(行情,论坛)  600835 
900926  宝信Ｂ     0.633   5.070      2.746    13.92  宝信软件(行情,论坛)  600845 
900927  物贸Ｂ股   0.422   3.380      2.142     7.24  Ｇ物贸    600822 
900928  ST自仪(行情,论坛)Ｂ   0.202   1.618      2.046     3.31  ST自仪(行情,论坛)    600848 
900930  邮通Ｂ股   0.37    2.963      2.386     7.07  上海邮通(行情,论坛)  600680 
