          沪深股市A股震幅前二十名

  代码    股票简称       收盘价    振幅(%)
 600089   Ｇ特变         11.33      19.39  
 600197   伊力特(行情,论坛)          4.99      16.96  
 600816   Ｇ*ST安信       3.05      16.33  
 000803   金宇车城(行情,论坛)        3.30      13.50  
 000028   Ｇ一致          5.14      13.28  
 600831   Ｇ广电         13.84      12.88  
 000569   长城股份(行情,论坛)        5.63      12.50  
 600316   洪都航空(行情,论坛)       19.22      12.46  
 600332   Ｇ广药          7.05      12.39  
 600501   Ｇ晨光          9.50      12.15  
 000811   烟台冰轮(行情,论坛)        5.50      12.15  
 600393   Ｇ东华          2.90      12.13  
 000100   ＧTCL集团       2.11      11.98  
 000685   Ｇ公用          3.11      11.97  
 600523   贵航股份(行情,论坛)        2.86      11.92  
 000402   Ｇ金融街        8.95      11.88  
 000031   Ｇ中粮地       10.64      11.79  
 000917   Ｇ电广          8.10      11.71  
 000830   Ｇ鲁西          2.89      11.70  
 000962   Ｇ东方钽        7.62      11.69  

          沪深股市A股震幅后二十名

  代码    股票简称       收盘价    振幅(%)
 000004   *ST国农(行情,论坛)         3.39       0.00  
 000671   阳光发展(行情,论坛)        5.89       0.00  
 000888   峨眉山Ａ        6.84       0.00  
 600269   赣粤高速(行情,论坛)       10.13       0.00  
 600472   Ｇ包铝          7.06       0.00  
 600497   驰宏锌锗(行情,论坛)       30.42       0.00  
 600655   豫园商城(行情,论坛)        8.57       0.00  
 600711   *ST雄震(行情,论坛)         3.92       0.00  
 600773   *ST金珠(行情,论坛)         1.90       0.00  
 600547   Ｇ鲁黄金       27.52       0.12  
 600851   Ｇ海欣          2.50       1.20  
 002026   山东威达(行情,论坛)        7.14       1.56  
 600862   ST纵横(行情,论坛)          1.77       1.78  
 000757   *ST方向A(行情,论坛)        1.75       1.80  
 600577   Ｇ精达          5.91       1.89  
 002034   美欣达(行情,论坛)          5.81       1.93  
 000905   厦门港务(行情,论坛)        7.61       2.00  
 000932   Ｇ华菱          3.42       2.05  
 600368   五洲交通(行情,论坛)        3.94       2.07  
 002010   传化股份(行情,论坛)        7.95       2.09  

          沪深股市B股震幅前二十名

  代码    股票简称       收盘价    振幅(%)
 900904   永生Ｂ股        0.38      14.33  
 900925   机电Ｂ股        0.44      10.89  
 200581   苏威孚Ｂ        6.85      10.73  
 900955   茉织华Ｂ        0.72      10.23  
 900923   友谊Ｂ股        0.64       9.85  
 200024   招商局Ｂ       12.65       9.13  
 900926   宝信Ｂ          0.63       8.87  
 900930   邮通Ｂ股        0.37       8.65  
 200539   粤电力Ｂ        3.94       8.63  
 900910   海立Ｂ股        0.43       8.52  
 900937   华电Ｂ股        0.27       8.10  
 200152   山航Ｂ          1.36       7.87  
 200011   深物业Ｂ        2.82       7.81  
 200625   长安Ｂ          4.57       7.78  
 200028   一致Ｂ          3.68       7.71  
 900935   阳晨Ｂ股        0.40       7.67  
 900950   新城Ｂ股        0.83       7.65  
 200596   *ST古井B(行情,论坛)        2.99       7.61  
 900912   外高Ｂ股        0.38       7.57  
 200570   苏常柴Ｂ        2.31       7.41  

          沪深股市B股震幅后二十名

  代码    股票简称       收盘价    振幅(%)
 900947   振华Ｂ股        2.00       1.81  
 900929   锦旅Ｂ股        0.50       2.02  
 900934   锦江Ｂ股        0.87       2.12  
 200513   丽珠Ｂ          3.73       2.45  
 900936   鄂绒Ｂ股        0.33       2.46  
 900906   中纺Ｂ股        0.15       2.67  
 200521   皖美菱Ｂ        1.52       2.70  
 900902   二纺Ｂ股        0.19       2.75  
 900903   大众Ｂ股        0.56       2.76  
 900918   耀皮Ｂ股        0.33       2.79  
 900952   锦港Ｂ股        0.37       2.82  
 200020   *ST华发B(行情,论坛)        1.30       3.10  
 200488   晨鸣Ｂ          4.11       3.23  
 200553   沙隆达Ｂ        1.60       3.23  
 900914   锦投Ｂ股        0.67       3.23  
 200026   飞亚达Ｂ        2.50       3.28  
 900916   凤凰Ｂ股        0.22       3.29  
 200468   宁通信Ｂ        1.85       3.30  
 900956   东贝Ｂ股        0.27       3.31  
 200541   粤照明Ｂ        8.55       3.38  


  公式：震幅 = （当日最高价 - 当日最低价）*100 / 前日收盘价
